 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-002  CO2 =   4.000000000000000E-004
 
    CH4 =   2.570408118175479E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 9.350E-03  PNO= 9.853E-03  ZAPNO= 1.041E+03
 N= 4     X= 3.45876E-01  ERR= 2.88068E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.95E+06 5.35E-13 9.97E-12 1.67E-10 2.84E-12 2.71E-14 6.57E-14 2.86E-16 6.16E-17 2.65E-22 2.79E-22 1.44E-13 2.96E-13
  6.35E+06 2.67E-13 4.44E-12 1.66E-10 2.03E-12 1.30E-14 2.37E-14 9.42E-17 2.11E-17 2.03E-23 9.62E-24 1.30E-13 9.08E-14
  6.75E+06 1.15E-13 1.52E-12 1.60E-10 8.10E-13 5.03E-15 4.51E-15 1.45E-17 4.23E-18 5.50E-25 4.25E-25 1.22E-13 2.33E-14
  7.15E+06 1.41E-14 2.20E-13 1.49E-10 1.43E-14 4.10E-16 3.43E-16 3.60E-19 1.87E-19 3.63E-27 2.10E-27 1.17E-13 4.15E-16
  7.55E+06 5.24E-15 1.32E-14 1.29E-10 6.05E-16 9.92E-18 1.35E-17 1.60E-21 5.78E-21 7.78E-30 1.42E-28 1.14E-13 1.87E-19
  7.95E+06 4.14E-15 1.00E-15 1.06E-10 2.61E-16 8.06E-19 5.27E-19 7.60E-24 1.35E-21 1.80E-32 1.44E-29 1.10E-13 3.80E-21
  8.35E+06 3.85E-15 1.96E-16 8.22E-11 1.12E-16 7.93E-20 2.04E-20 4.97E-26 3.29E-22 8.49E-35 1.42E-30 1.05E-13 1.98E-22
  8.75E+06 3.70E-15 1.51E-16 6.22E-11 4.40E-17 5.61E-21 8.09E-22 6.87E-28 6.87E-23 1.38E-36 6.54E-32 9.96E-14 1.02E-23
  9.15E+06 3.50E-15 2.00E-16 4.85E-11 1.68E-17 2.83E-22 3.39E-23 1.43E-29 1.27E-23 2.42E-38 1.28E-33 9.20E-14 3.97E-25
  9.55E+06 3.19E-15 2.51E-16 4.07E-11 6.97E-18 1.39E-23 1.56E-24 3.48E-31 2.50E-24 4.24E-40 1.68E-35 8.14E-14 1.47E-26
  9.95E+06 2.73E-15 2.50E-16 3.76E-11 3.18E-18 8.57E-25 1.13E-25 1.23E-32 5.45E-25 1.06E-41 1.71E-37 6.77E-14 5.33E-28
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 2.12E-18 6.49E-15 4.22E-12 5.95E-14 2.10E-02 4.62E-12 1.39E-17 4.66E-19 4.03E-11 1.49E-12 2.74E-13 4.00E-04
  1.50E+05 2.84E-18 6.93E-15 6.42E-12 6.89E-14 2.10E-02 4.80E-12 1.46E-17 7.71E-19 7.36E-11 3.01E-12 3.43E-13 4.05E-04
  2.50E+05 3.79E-18 7.85E-15 9.37E-12 7.91E-14 2.10E-02 5.08E-12 1.50E-17 1.18E-18 1.06E-10 4.78E-12 3.83E-13 4.09E-04
  3.50E+05 4.97E-18 9.25E-15 1.28E-11 9.33E-14 2.10E-02 5.50E-12 1.50E-17 1.75E-18 1.38E-10 6.53E-12 4.24E-13 4.13E-04
  7.50E+05 1.33E-17 3.25E-14 2.62E-11 1.29E-13 2.10E-02 8.75E-12 1.55E-17 8.54E-18 2.54E-10 1.01E-11 6.52E-13 4.27E-04
  1.15E+06 3.11E-17 9.22E-14 3.18E-11 2.35E-13 2.10E-02 2.95E-12 3.68E-18 4.11E-17 1.67E-10 6.84E-12 2.05E-13 4.31E-04
  1.55E+06 2.03E-16 2.91E-12 8.96E-11 1.10E-11 2.10E-02 5.94E-15 2.56E-21 8.26E-18 8.62E-12 3.72E-13 1.27E-16 4.31E-04
  1.95E+06 1.14E-15 1.93E-11 1.48E-10 6.76E-11 2.10E-02 1.68E-19 1.00E-25 3.01E-19 6.14E-14 3.82E-15 1.46E-21 4.31E-04
  2.35E+06 6.07E-15 4.73E-11 1.65E-10 8.66E-11 2.10E-02 4.71E-25 1.50E-30 9.96E-21 3.31E-16 2.03E-15 5.60E-27 4.31E-04
  2.75E+06 3.40E-14 8.70E-11 1.77E-10 3.82E-11 2.10E-02 1.85E-29 9.22E-31 6.75E-21 4.78E-17 2.31E-15 7.39E-28 4.32E-04
  3.15E+06 2.20E-13 1.27E-10 2.14E-10 6.17E-12 2.10E-02 5.05E-29 7.94E-30 2.98E-20 6.10E-17 2.30E-15 1.06E-27 4.32E-04
  3.55E+06 1.11E-12 9.98E-11 3.30E-10 2.58E-13 2.10E-02 1.92E-28 7.33E-29 1.10E-19 1.06E-16 2.25E-15 1.58E-27 4.32E-04
  3.95E+06 2.78E-12 5.77E-11 3.98E-10 9.40E-15 2.10E-02 8.32E-28 4.64E-28 5.11E-19 2.06E-16 2.14E-15 4.30E-27 4.32E-04
  4.35E+06 5.28E-12 3.13E-11 4.31E-10 5.07E-16 2.10E-02 2.98E-27 2.05E-27 2.52E-18 3.69E-16 1.97E-15 2.08E-26 4.32E-04
  4.75E+06 8.19E-12 1.46E-11 4.48E-10 3.92E-17 2.10E-02 1.05E-26 8.08E-27 8.93E-18 5.96E-16 1.74E-15 1.08E-25 4.32E-04
