 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000000E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25802E-01  ERR= 2.35764E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  6.35E+06 5.38E-11 1.24E-15 3.12E-10 5.56E-29 2.32E-04 5.42E-33 8.27E-30 2.30E-19 3.72E-19 1.05E-19 2.67E-27 3.99E-04
  6.75E+06 8.52E-11 6.67E-16 2.80E-10 2.53E-30 2.01E-04 4.95E-35 9.94E-31 2.81E-19 3.42E-19 8.20E-20 7.49E-28 3.87E-04
  7.15E+06 1.14E-10 2.77E-16 2.51E-10 1.34E-31 1.63E-04 2.16E-36 2.77E-31 3.91E-19 2.43E-19 6.74E-20 3.42E-28 3.76E-04
  7.55E+06 1.39E-10 9.42E-17 2.24E-10 7.05E-33 1.26E-04 1.60E-37 1.02E-31 5.05E-19 1.35E-19 5.68E-20 1.72E-28 3.65E-04
  7.95E+06 1.65E-10 2.71E-17 1.98E-10 3.35E-34 9.11E-05 1.36E-38 4.03E-32 5.81E-19 6.02E-20 4.75E-20 8.43E-29 3.51E-04
  8.35E+06 1.87E-10 6.87E-18 1.73E-10 1.47E-35 6.36E-05 1.27E-39 1.72E-32 6.13E-19 2.30E-20 3.90E-20 4.07E-29 3.35E-04
  8.75E+06 2.06E-10 1.59E-18 1.50E-10 6.02E-37 4.36E-05 1.27E-40 7.85E-33 6.14E-19 8.00E-21 3.11E-20 1.94E-29 3.17E-04
  9.15E+06 2.18E-10 3.47E-19 1.30E-10 2.30E-38 2.97E-05 1.29E-41 3.75E-33 5.90E-19 2.68E-21 2.36E-20 9.07E-30 2.95E-04
  9.55E+06 2.22E-10 7.13E-20 1.15E-10 8.24E-40 2.01E-05 1.32E-42 1.83E-33 5.43E-19 9.08E-22 1.63E-20 4.03E-30 2.66E-04
  9.95E+06 2.16E-10 1.35E-20 1.04E-10 3.05E-41 1.31E-05 1.63E-43 8.82E-34 4.72E-19 3.57E-22 9.90E-21 1.65E-30 2.31E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 1.23E-10
  1.50E+05 1.46E-10
  2.50E+05 1.93E-10
  3.50E+05 2.50E-10
  7.50E+05 4.90E-10
  1.15E+06 5.70E-10
  1.55E+06 4.85E-10
  1.95E+06 3.14E-10
  2.35E+06 2.06E-10
  2.75E+06 1.42E-10
  3.15E+06 8.98E-11
  3.55E+06 5.00E-11
  3.95E+06 2.42E-11
  4.35E+06 9.92E-12
  4.75E+06 3.32E-12
  5.15E+06 8.23E-13
  5.55E+06 1.47E-13
  5.95E+06 1.73E-14
  6.35E+06 1.24E-15
  6.75E+06 4.59E-17
  7.15E+06 6.67E-19
  7.55E+06 7.18E-22
  7.95E+06 2.26E-27
  8.35E+06 1.47E-37
  8.75E+06 2.07E-56
  9.15E+06 2.89E-91
  9.55E+06 1.00-100
  9.95E+06 1.00-100


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.00E+04 8.93E-11 0.00E+00 1.22E-11 0.00E+00 1.19E-09 2.09E-04 9.47E-05 6.41E-06 1.53E-05 1.75E-05 2.84E-05
   3.50E+05 1.07E-10 0.00E+00 1.64E-11 0.00E+00 1.78E-09 2.29E-04 1.24E-04 7.77E-06 1.93E-05 2.13E-05 3.13E-05
   6.50E+05 1.37E-10 0.00E+00 2.36E-11 0.00E+00 3.02E-09 2.47E-04 1.52E-04 9.18E-06 2.26E-05 2.43E-05 3.75E-05
   9.50E+05 2.02E-10 2.09-225 3.89E-11 1.00-224 6.26E-09 2.68E-04 2.08E-04 1.15E-05 2.59E-05 2.70E-05 5.39E-05
   1.25E+06 3.65E-10 2.29-144 7.54E-11 1.10-143 1.61E-08 3.16E-04 4.97E-04 1.80E-05 3.07E-05 3.02E-05 1.09E-04
   1.55E+06 6.04E-10 4.59-100 1.28E-10 2.21E-99 3.49E-08 4.48E-04 1.60E-03 3.14E-05 3.59E-05 3.36E-05 2.06E-04
   1.85E+06 8.10E-10 3.40E-68 1.85E-10 1.63E-67 6.01E-08 5.61E-04 2.56E-03 4.10E-05 3.95E-05 3.62E-05 2.62E-04
   2.15E+06 1.02E-09 1.51E-46 2.47E-10 7.25E-46 9.15E-08 6.26E-04 3.10E-03 4.58E-05 4.21E-05 3.80E-05 2.83E-04
   2.45E+06 1.29E-09 1.26E-32 3.15E-10 6.03E-32 1.28E-07 6.66E-04 3.43E-03 4.86E-05 4.39E-05 3.93E-05 2.92E-04
   2.75E+06 1.62E-09 7.63E-24 3.88E-10 3.66E-23 1.70E-07 6.92E-04 3.64E-03 5.03E-05 4.51E-05 4.02E-05 2.96E-04
   3.05E+06 2.05E-09 2.44E-18 4.65E-10 1.17E-17 2.15E-07 7.08E-04 3.77E-03 5.13E-05 4.59E-05 4.07E-05 2.98E-04
   3.35E+06 2.66E-09 6.70E-15 5.43E-10 3.21E-14 2.63E-07 7.18E-04 3.86E-03 5.19E-05 4.64E-05 4.11E-05 2.99E-04
   3.65E+06 3.57E-09 9.73E-13 6.23E-10 4.42E-12 3.13E-07 7.24E-04 3.91E-03 5.24E-05 4.67E-05 4.13E-05 2.99E-04
   3.95E+06 4.90E-09 2.76E-11 7.04E-10 9.44E-11 3.95E-07 7.28E-04 3.94E-03 5.26E-05 4.69E-05 4.14E-05 3.00E-04
   4.25E+06 6.74E-09 3.34E-10 7.86E-10 6.34E-10 6.38E-07 7.30E-04 3.96E-03 5.28E-05 4.71E-05 4.15E-05 3.00E-04
   4.55E+06 9.19E-09 2.10E-09 8.68E-10 2.07E-09 1.19E-06 7.32E-04 3.97E-03 5.29E-05 4.71E-05 4.16E-05 3.00E-04
   4.85E+06 1.24E-08 7.73E-09 9.47E-10 4.28E-09 2.02E-06 7.33E-04 3.98E-03 5.30E-05 4.72E-05 4.16E-05 3.00E-04
   5.15E+06 1.65E-08 2.00E-08 1.02E-09 6.72E-09 2.90E-06 7.33E-04 3.98E-03 5.31E-05 4.72E-05 4.17E-05 3.01E-04
   5.45E+06 2.14E-08 4.23E-08 1.09E-09 9.15E-09 3.71E-06 7.34E-04 3.99E-03 5.31E-05 4.73E-05 4.17E-05 3.01E-04
   5.75E+06 2.68E-08 7.99E-08 1.16E-09 1.19E-08 4.42E-06 7.34E-04 3.99E-03 5.32E-05 4.73E-05 4.17E-05 3.01E-04
   6.05E+06 3.21E-08 1.43E-07 1.21E-09 1.56E-08 5.05E-06 7.34E-04 3.99E-03 5.32E-05 4.73E-05 4.17E-05 3.01E-04
   6.35E+06 3.70E-08 2.54E-07 1.26E-09 2.16E-08 5.63E-06 7.34E-04 3.99E-03 5.32E-05 4.73E-05 4.17E-05 3.01E-04
   6.65E+06 4.10E-08 4.54E-07 1.29E-09 3.21E-08 6.15E-06 7.34E-04 3.99E-03 5.32E-05 4.73E-05 4.17E-05 3.01E-04
   6.95E+06 4.38E-08 7.70E-07 1.32E-09 4.90E-08 6.60E-06 7.34E-04 3.99E-03 5.32E-05 4.73E-05 4.17E-05 3.01E-04
   7.25E+06 4.56E-08 1.17E-06 1.33E-09 7.09E-08 6.96E-06 7.34E-04 3.99E-03 5.32E-05 4.73E-05 4.17E-05 3.01E-04
   7.55E+06 4.67E-08 1.57E-06 1.34E-09 9.34E-08 7.23E-06 7.34E-04 3.99E-03 5.32E-05 4.73E-05 4.17E-05 3.01E-04
   7.85E+06 4.73E-08 1.91E-06 1.34E-09 1.13E-07 7.41E-06 7.34E-04 3.99E-03 5.33E-05 4.73E-05 4.17E-05 3.01E-04
   8.15E+06 4.75E-08 2.17E-06 1.35E-09 1.28E-07 7.53E-06 7.34E-04 3.99E-03 5.33E-05 4.73E-05 4.17E-05 3.01E-04
   8.45E+06 4.77E-08 2.33E-06 1.35E-09 1.37E-07 7.59E-06 7.34E-04 3.99E-03 5.33E-05 4.73E-05 4.17E-05 3.01E-04
   8.75E+06 4.77E-08 2.43E-06 1.35E-09 1.43E-07 7.63E-06 7.34E-04 3.99E-03 5.33E-05 4.73E-05 4.17E-05 3.01E-04
   9.05E+06 4.78E-08 2.48E-06 1.35E-09 1.46E-07 7.65E-06 7.34E-04 3.99E-03 5.33E-05 4.73E-05 4.17E-05 3.01E-04
   9.35E+06 4.78E-08 2.51E-06 1.35E-09 1.48E-07 7.66E-06 7.34E-04 3.99E-03 5.33E-05 4.73E-05 4.17E-05 3.01E-04
   9.65E+06 4.78E-08 2.52E-06 1.35E-09 1.49E-07 7.66E-06 7.34E-04 3.99E-03 5.33E-05 4.73E-05 4.17E-05 3.01E-04
   9.95E+06 4.78E-08 2.53E-06 1.35E-09 1.49E-07 7.67E-06 7.34E-04 3.99E-03 5.33E-05 4.73E-05 4.17E-05 3.01E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 5.88E-06 8.98E-08 1.45E-05 3.18E-09 2.99E-03 2.47E-05 3.08E-06 4.66E-07 5.53E-06 1.03E-08
   3.50E+05 0.00E+00 7.09E-06 1.03E-07 1.66E-05 5.38E-09 3.43E-03 2.89E-05 3.38E-06 5.38E-07 5.97E-06 1.24E-08
   6.50E+05 0.00E+00 8.34E-06 1.23E-07 1.98E-05 9.85E-09 3.79E-03 3.45E-05 3.82E-06 6.42E-07 6.76E-06 1.28E-07
   9.50E+05 3.76-222 1.04E-05 1.62E-07 2.59E-05 2.00E-08 4.12E-03 4.59E-05 4.60E-06 8.14E-07 8.41E-06 2.06E-08
