 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-003  CO2 =   4.000000000000000E-004
 
    CH4 =   1.028627576680302E-008
 Standard CH3CL flux =  0.000E+00

 PO2= 1.273E-03  PNO= 3.670E-03  ZAPNO= 3.879E+02
 N= 4     X= 1.56520E-01  ERR= 4.16746E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


   4.25E+06 1.74E-09 1.12E-10 4.13E-10 5.39E-10 3.75E-07 7.11E-04 3.77E-03 5.17E-05 4.81E-05 4.18E-05 2.97E-04
   4.55E+06 2.22E-09 3.08E-10 4.90E-10 1.48E-09 7.53E-07 7.14E-04 3.79E-03 5.20E-05 4.82E-05 4.19E-05 2.98E-04
   4.85E+06 2.92E-09 6.04E-10 5.69E-10 2.90E-09 1.31E-06 7.15E-04 3.80E-03 5.21E-05 4.83E-05 4.19E-05 2.99E-04
   5.15E+06 3.95E-09 9.50E-10 6.49E-10 4.55E-09 1.94E-06 7.16E-04 3.81E-03 5.23E-05 4.83E-05 4.19E-05 2.99E-04
   5.45E+06 5.46E-09 1.34E-09 7.31E-10 6.19E-09 2.57E-06 7.16E-04 3.81E-03 5.23E-05 4.83E-05 4.19E-05 2.99E-04
   5.75E+06 7.54E-09 2.29E-09 8.15E-10 7.70E-09 3.16E-06 7.16E-04 3.82E-03 5.24E-05 4.83E-05 4.20E-05 3.00E-04
   6.05E+06 1.03E-08 5.64E-09 8.99E-10 9.05E-09 3.68E-06 7.17E-04 3.82E-03 5.24E-05 4.83E-05 4.20E-05 3.00E-04
   6.35E+06 1.41E-08 1.45E-08 9.80E-10 1.03E-08 4.15E-06 7.17E-04 3.82E-03 5.25E-05 4.83E-05 4.20E-05 3.00E-04
   6.65E+06 1.89E-08 3.31E-08 1.06E-09 1.17E-08 4.59E-06 7.17E-04 3.82E-03 5.25E-05 4.84E-05 4.20E-05 3.01E-04
   6.95E+06 2.45E-08 6.73E-08 1.13E-09 1.37E-08 5.00E-06 7.17E-04 3.82E-03 5.26E-05 4.84E-05 4.20E-05 3.01E-04
   7.25E+06 3.02E-08 1.26E-07 1.20E-09 1.70E-08 5.42E-06 7.18E-04 3.83E-03 5.26E-05 4.84E-05 4.20E-05 3.01E-04
   7.55E+06 3.55E-08 2.28E-07 1.25E-09 2.26E-08 5.85E-06 7.18E-04 3.83E-03 5.26E-05 4.84E-05 4.20E-05 3.01E-04
   7.85E+06 3.99E-08 4.16E-07 1.29E-09 3.24E-08 6.28E-06 7.18E-04 3.83E-03 5.26E-05 4.84E-05 4.20E-05 3.01E-04
   8.15E+06 4.31E-08 7.33E-07 1.31E-09 4.92E-08 6.67E-06 7.18E-04 3.83E-03 5.27E-05 4.84E-05 4.20E-05 3.01E-04
   8.45E+06 4.53E-08 1.15E-06 1.33E-09 7.18E-08 7.01E-06 7.18E-04 3.83E-03 5.27E-05 4.84E-05 4.20E-05 3.01E-04
   8.75E+06 4.65E-08 1.57E-06 1.34E-09 9.50E-08 7.27E-06 7.18E-04 3.83E-03 5.27E-05 4.84E-05 4.20E-05 3.01E-04
   9.05E+06 4.71E-08 1.92E-06 1.34E-09 1.15E-07 7.44E-06 7.18E-04 3.83E-03 5.27E-05 4.84E-05 4.20E-05 3.01E-04
   9.35E+06 4.75E-08 2.17E-06 1.34E-09 1.29E-07 7.54E-06 7.18E-04 3.83E-03 5.27E-05 4.84E-05 4.20E-05 3.01E-04
   9.65E+06 4.76E-08 2.33E-06 1.35E-09 1.38E-07 7.60E-06 7.18E-04 3.83E-03 5.27E-05 4.84E-05 4.20E-05 3.01E-04
   9.95E+06 4.77E-08 2.41E-06 1.35E-09 1.43E-07 7.63E-06 7.18E-04 3.83E-03 5.27E-05 4.84E-05 4.20E-05 3.01E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
