 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-005  CO2 =   4.000000000000000E-004
 
    CH4 =   2.590435860605555E-009
 Standard CH3CL flux =  2.800E+08

 PO2= 7.417E-04  PNO= 2.805E-03  ZAPNO= 2.964E+02
 N= 3     X= 1.22526E-01  ERR= 5.46052E-08

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  6.35E+06 3.30E-12 4.83E-17 5.63E-12 1.95E-31 6.54E-05 1.60E-35 8.92E-31 1.87E-18 3.54E-18 3.06E-19 2.40E-27 3.47E-04
  6.75E+06 4.13E-12 1.54E-17 4.79E-12 7.78E-33 5.24E-05 7.40E-37 2.76E-31 2.78E-18 2.67E-18 2.44E-19 1.18E-27 3.33E-04
  7.15E+06 4.75E-12 4.14E-18 4.16E-12 3.39E-34 3.97E-05 6.40E-38 1.20E-31 3.90E-18 1.57E-18 2.01E-19 6.64E-28 3.21E-04
  7.55E+06 5.25E-12 1.02E-18 3.64E-12 1.52E-35 2.92E-05 6.90E-39 5.79E-32 4.74E-18 7.23E-19 1.70E-19 3.57E-28 3.10E-04
  7.95E+06 5.70E-12 2.32E-19 3.16E-12 6.38E-37 2.06E-05 7.56E-40 2.92E-32 5.15E-18 2.80E-19 1.42E-19 1.80E-28 2.97E-04
  8.35E+06 6.08E-12 5.04E-20 2.72E-12 2.53E-38 1.42E-05 8.80E-41 1.61E-32 5.26E-18 9.71E-20 1.17E-19 8.83E-29 2.84E-04
  8.75E+06 6.36E-12 1.06E-20 2.34E-12 9.42E-40 9.66E-06 1.09E-41 9.82E-33 5.18E-18 3.20E-20 9.30E-20 4.26E-29 2.68E-04
  9.15E+06 6.51E-12 2.16E-21 2.02E-12 3.25E-41 6.56E-06 1.42E-42 6.39E-33 4.95E-18 1.03E-20 7.04E-20 2.00E-29 2.49E-04
  9.55E+06 6.47E-12 4.26E-22 1.77E-12 1.04E-42 4.43E-06 1.85E-43 4.19E-33 4.54E-18 3.39E-21 4.87E-20 8.88E-30 2.25E-04
  9.95E+06 6.22E-12 7.92E-23 1.60E-12 3.50E-44 2.88E-06 2.83E-44 2.59E-33 3.94E-18 1.29E-21 2.96E-20 3.64E-30 1.96E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 1.27E-10
  1.50E+05 1.50E-10
  2.50E+05 1.97E-10
  3.50E+05 2.54E-10
  7.50E+05 4.96E-10
  1.15E+06 5.69E-10
  1.55E+06 4.84E-10
  1.95E+06 3.13E-10
  2.35E+06 2.05E-10
  2.75E+06 1.40E-10
  3.15E+06 8.78E-11
  3.55E+06 4.83E-11
  3.95E+06 2.31E-11
  4.35E+06 9.31E-12
  4.75E+06 3.03E-12
  5.15E+06 7.19E-13
  5.55E+06 1.24E-13
  5.95E+06 1.45E-14
  6.35E+06 1.04E-15
  6.75E+06 3.85E-17
  7.15E+06 5.59E-19
  7.55E+06 6.01E-22
  7.95E+06 1.90E-27
  8.35E+06 1.23E-37
  8.75E+06 1.74E-56
  9.15E+06 2.43E-91
  9.55E+06 1.00-100
  9.95E+06 1.00-100


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.00E+04 4.78E-10 0.00E+00 9.55E-11 0.00E+00 2.20E-08 2.95E-04 8.39E-04 2.11E-05 2.13E-05 1.97E-05 1.65E-04
   3.50E+05 5.29E-10 0.00E+00 1.13E-10 0.00E+00 2.93E-08 3.46E-04 1.14E-03 2.44E-05 2.74E-05 2.44E-05 1.70E-04
   6.50E+05 6.12E-10 0.00E+00 1.42E-10 0.00E+00 4.23E-08 3.87E-04 1.37E-03 2.71E-05 3.17E-05 2.78E-05 1.76E-04
   9.50E+05 7.49E-10 4.74-108 1.86E-10 1.31-109 6.33E-08 4.27E-04 1.58E-03 3.00E-05 3.52E-05 3.06E-05 1.88E-04
   1.25E+06 1.01E-09 4.84E-69 2.54E-10 1.34E-70 9.70E-08 5.11E-04 2.21E-03 3.73E-05 3.87E-05 3.35E-05 2.35E-04
   1.55E+06 1.33E-09 1.83E-46 3.29E-10 5.08E-48 1.37E-07 5.97E-04 2.90E-03 4.42E-05 4.19E-05 3.61E-05 2.73E-04
   1.85E+06 1.70E-09 2.47E-32 4.05E-10 7.46E-34 1.80E-07 6.56E-04 3.38E-03 4.84E-05 4.46E-05 3.82E-05 2.89E-04
   2.15E+06 2.18E-09 1.87E-23 4.84E-10 9.14E-25 2.26E-07 6.97E-04 3.70E-03 5.10E-05 4.67E-05 3.98E-05 2.95E-04
   2.45E+06 2.85E-09 7.53E-18 5.62E-10 7.43E-19 2.74E-07 7.25E-04 3.93E-03 5.28E-05 4.82E-05 4.09E-05 2.98E-04
   2.75E+06 3.83E-09 2.71E-14 6.41E-10 4.42E-15 3.23E-07 7.45E-04 4.09E-03 5.39E-05 4.93E-05 4.17E-05 2.99E-04
   3.05E+06 5.24E-09 5.05E-12 7.21E-10 1.07E-12 3.73E-07 7.58E-04 4.20E-03 5.47E-05 5.01E-05 4.23E-05 2.99E-04
   3.35E+06 7.13E-09 1.45E-10 8.01E-10 3.38E-11 4.35E-07 7.66E-04 4.26E-03 5.52E-05 5.05E-05 4.26E-05 3.00E-04
   3.65E+06 9.56E-09 1.29E-09 8.78E-10 2.97E-10 5.75E-07 7.72E-04 4.31E-03 5.56E-05 5.08E-05 4.28E-05 3.00E-04
   3.95E+06 1.26E-08 5.40E-09 9.51E-10 1.17E-09 9.22E-07 7.75E-04 4.34E-03 5.58E-05 5.10E-05 4.30E-05 3.00E-04
   4.25E+06 1.62E-08 1.45E-08 1.02E-09 2.79E-09 1.52E-06 7.78E-04 4.36E-03 5.60E-05 5.11E-05 4.30E-05 3.00E-04
   4.55E+06 2.03E-08 3.01E-08 1.08E-09 4.90E-09 2.26E-06 7.79E-04 4.37E-03 5.61E-05 5.12E-05 4.31E-05 3.01E-04
   4.85E+06 2.47E-08 5.46E-08 1.13E-09 7.30E-09 3.04E-06 7.80E-04 4.38E-03 5.61E-05 5.13E-05 4.31E-05 3.01E-04
   5.15E+06 2.93E-08 9.27E-08 1.19E-09 1.01E-08 3.82E-06 7.81E-04 4.38E-03 5.62E-05 5.13E-05 4.32E-05 3.01E-04
   5.45E+06 3.38E-08 1.54E-07 1.23E-09 1.37E-08 4.56E-06 7.81E-04 4.38E-03 5.62E-05 5.13E-05 4.32E-05 3.01E-04
   5.75E+06 3.79E-08 2.56E-07 1.27E-09 1.92E-08 5.25E-06 7.81E-04 4.39E-03 5.62E-05 5.13E-05 4.32E-05 3.01E-04
   6.05E+06 4.15E-08 4.34E-07 1.30E-09 2.86E-08 5.87E-06 7.81E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   6.35E+06 4.41E-08 7.20E-07 1.32E-09 4.40E-08 6.39E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   6.65E+06 4.58E-08 1.09E-06 1.33E-09 6.44E-08 6.81E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   6.95E+06 4.68E-08 1.47E-06 1.34E-09 8.60E-08 7.12E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   7.25E+06 4.73E-08 1.80E-06 1.34E-09 1.05E-07 7.33E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   7.55E+06 4.75E-08 2.07E-06 1.35E-09 1.21E-07 7.47E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   7.85E+06 4.77E-08 2.26E-06 1.35E-09 1.32E-07 7.55E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   8.15E+06 4.77E-08 2.37E-06 1.35E-09 1.40E-07 7.60E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   8.45E+06 4.78E-08 2.45E-06 1.35E-09 1.44E-07 7.63E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   8.75E+06 4.78E-08 2.49E-06 1.35E-09 1.47E-07 7.65E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   9.05E+06 4.78E-08 2.51E-06 1.35E-09 1.48E-07 7.66E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   9.35E+06 4.78E-08 2.52E-06 1.35E-09 1.49E-07 7.66E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   9.65E+06 4.78E-08 2.53E-06 1.35E-09 1.49E-07 7.67E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04
   9.95E+06 4.78E-08 2.53E-06 1.35E-09 1.50E-07 7.67E-06 7.82E-04 4.39E-03 5.63E-05 5.13E-05 4.32E-05 3.01E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 1.81E-05 2.89E-07 4.66E-05 1.81E-08 3.01E-03 1.04E-04 6.39E-06 1.20E-06 1.34E-05 3.37E-08
   3.50E+05 0.00E+00 2.09E-05 3.02E-07 4.95E-05 2.68E-08 3.46E-03 1.17E-04 6.58E-06 1.28E-06 1.38E-05 3.70E-08
   6.50E+05 0.00E+00 2.31E-05 3.19E-07 5.26E-05 4.18E-08 3.83E-03 1.28E-04 6.83E-06 1.38E-06 1.42E-05 1.28E-07
   9.50E+05 2.71-129 2.53E-05 3.41E-07 5.65E-05 6.57E-08 4.16E-03 1.40E-04 7.14E-06 1.51E-06 1.49E-05 4.81E-08
   1.25E+06 4.01E-73 3.10E-05 3.81E-07 6.39E-05 1.15E-07 4.47E-03 1.75E-04 7.60E-06 1.67E-06 1.61E-05 5.64E-08
