 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   2.693080771062091E-007
 Standard CH3CL flux =  2.920E+08

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35661E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.15E+06 3.43E-16 3.23E-16 1.49E-12 5.78E-15 1.96E-16 8.80E-17 7.82E-19 2.60E-19 8.34E-27 4.38E-25 2.81E-17 2.00E-15
  5.55E+06 2.02E-17 1.27E-16 1.31E-12 2.36E-16 1.80E-17 6.51E-19 3.44E-21 2.26E-20 1.21E-29 1.23E-26 2.29E-17 4.15E-17
  5.95E+06 3.67E-18 1.24E-16 1.12E-12 4.84E-17 5.72E-19 3.87E-21 9.68E-24 4.23E-21 1.13E-31 2.26E-27 1.99E-17 8.49E-20
  6.35E+06 2.49E-18 1.62E-16 9.29E-13 2.27E-17 4.40E-20 1.54E-22 1.87E-25 1.10E-21 4.36E-33 2.03E-28 1.80E-17 1.49E-21
  6.75E+06 2.35E-18 1.97E-16 7.71E-13 1.03E-17 3.36E-21 7.65E-24 5.61E-27 2.70E-22 1.52E-34 9.85E-30 1.69E-17 5.64E-23
  7.15E+06 2.32E-18 2.24E-16 6.47E-13 4.67E-18 2.35E-22 3.92E-25 2.18E-28 6.60E-23 5.35E-36 3.06E-31 1.61E-17 3.00E-24
  7.55E+06 2.31E-18 2.31E-16 5.44E-13 2.12E-18 1.51E-23 1.92E-26 9.18E-30 1.61E-23 1.82E-37 6.96E-33 1.54E-17 1.82E-25
  7.95E+06 2.29E-18 2.18E-16 4.47E-13 9.42E-19 8.90E-25 7.81E-28 3.73E-31 3.83E-24 5.73E-39 1.24E-34 1.48E-17 1.09E-26
  8.35E+06 2.25E-18 1.94E-16 3.62E-13 4.10E-19 5.47E-26 2.95E-29 1.53E-32 8.88E-25 1.72E-40 1.87E-36 1.40E-17 6.60E-28
  8.75E+06 2.19E-18 1.69E-16 2.89E-13 1.77E-19 4.49E-27 1.16E-30 6.34E-34 2.01E-25 4.97E-42 2.53E-38 1.32E-17 4.02E-29
  9.15E+06 2.08E-18 1.45E-16 2.31E-13 7.57E-20 6.30E-28 5.92E-32 2.66E-35 4.44E-26 1.40E-43 3.18E-40 1.21E-17 2.39E-30
  9.55E+06 1.92E-18 1.23E-16 1.89E-13 3.32E-20 1.35E-28 4.74E-33 1.14E-36 9.81E-27 4.02E-45 3.70E-42 1.08E-17 1.32E-31
  9.95E+06 1.67E-18 1.06E-16 1.70E-13 1.58E-20 3.67E-29 6.95E-34 5.80E-38 2.27E-27 1.43E-46 3.88E-44 9.19E-18 6.52E-33
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 4.49E-17 8.43E-15 6.45E-12 4.52E-15 2.10E-04 8.28E-13 2.79E-16 1.77E-16 1.47E-11 2.70E-12 6.32E-14 4.00E-04
  1.50E+05 9.93E-17 1.61E-14 1.00E-11 8.44E-15 2.14E-04 6.51E-13 2.15E-16 4.71E-16 2.06E-11 5.58E-12 5.89E-14 4.05E-04
  2.50E+05 2.15E-16 4.41E-14 1.45E-11 2.19E-14 2.19E-04 4.87E-13 1.33E-16 8.88E-16 2.19E-11 8.72E-12 4.73E-14 4.09E-04
  3.50E+05 4.07E-16 1.29E-13 1.88E-11 6.02E-14 2.23E-04 3.91E-13 8.23E-17 1.45E-15 2.10E-11 1.15E-11 3.87E-14 4.13E-04
  7.50E+05 1.38E-15 1.88E-12 2.20E-11 6.89E-13 2.37E-04 3.36E-13 2.89E-17 7.88E-15 2.19E-11 1.94E-11 2.69E-14 4.27E-04
  1.15E+06 2.43E-15 5.49E-12 2.81E-11 2.68E-12 2.40E-04 2.06E-15 8.04E-20 7.41E-15 4.33E-12 2.56E-12 6.94E-17 4.30E-04
  1.55E+06 2.59E-14 1.37E-11 5.40E-11 8.36E-13 2.40E-04 7.20E-24 1.88E-27 6.64E-19 1.31E-16 2.55E-16 2.07E-25 4.30E-04
  1.95E+06 1.74E-13 1.58E-11 7.10E-11 7.80E-14 2.40E-04 1.35E-29 3.95E-30 1.20E-21 9.64E-20 6.41E-18 1.09E-28 4.30E-04
  2.35E+06 6.34E-13 1.29E-11 7.82E-11 5.82E-15 2.40E-04 8.73E-29 3.28E-29 2.25E-21 1.27E-19 6.37E-18 2.88E-28 4.30E-04
  2.75E+06 1.34E-12 6.81E-12 8.88E-11 3.85E-16 2.40E-04 4.89E-28 2.05E-28 3.84E-21 1.85E-19 6.31E-18 7.78E-28 4.30E-04
  3.15E+06 1.85E-12 2.51E-12 9.63E-11 2.67E-17 2.40E-04 2.19E-27 9.91E-28 7.13E-21 3.02E-19 6.18E-18 2.32E-27 4.30E-04
  3.55E+06 2.11E-12 8.18E-13 9.91E-11 1.98E-18 2.40E-04 7.93E-27 3.88E-27 1.47E-20 5.39E-19 5.92E-18 7.77E-27 4.30E-04
  3.95E+06 2.10E-12 2.58E-13 1.00E-10 1.67E-19 2.40E-04 3.11E-26 1.50E-26 2.75E-20 9.37E-19 5.50E-18 2.72E-26 4.30E-04
  4.35E+06 2.03E-12 9.88E-14 1.00E-10 1.57E-20 2.40E-04 1.05E-25 5.07E-26 5.37E-20 1.65E-18 4.74E-18 9.71E-26 4.29E-04
  4.75E+06 2.04E-12 3.95E-14 1.00E-10 9.17E-22 2.41E-04 1.73E-25 1.03E-25 1.36E-19 2.89E-18 3.41E-18 3.31E-25 4.28E-04
  5.15E+06 2.41E-12 9.92E-15 1.00E-10 1.21E-23 2.43E-04 7.78E-26 1.02E-25 4.65E-19 4.03E-18 1.93E-18 8.03E-25 4.23E-04
  5.55E+06 5.48E-12 3.09E-15 9.70E-11 3.72E-26 2.48E-04 3.43E-27 2.98E-26 2.00E-18 3.37E-18 1.03E-18 8.35E-25 4.13E-04
  5.95E+06 1.91E-11 2.46E-15 8.33E-11 3.18E-28 2.48E-04 8.28E-31 1.74E-28 2.62E-18 3.13E-18 6.36E-19 5.58E-26 4.01E-04
  6.35E+06 3.32E-11 1.37E-15 6.92E-11 1.06E-29 2.32E-04 1.05E-33 6.96E-30 2.42E-18 3.49E-18 4.57E-19 7.83E-27 3.89E-04
  6.75E+06 4.48E-11 5.57E-16 5.74E-11 4.55E-31 2.01E-04 1.04E-34 1.05E-30 3.04E-18 2.95E-18 3.52E-19 2.48E-27 3.78E-04
  7.15E+06 5.36E-11 1.81E-16 4.85E-11 2.16E-32 1.63E-04 3.30E-36 3.06E-31 4.09E-18 1.94E-18 2.83E-19 1.13E-27 3.67E-04
  7.55E+06 6.05E-11 5.04E-17 4.14E-11 1.04E-33 1.26E-04 5.41E-38 1.14E-31 5.04E-18 1.00E-18 2.34E-19 5.48E-28 3.56E-04
  7.95E+06 6.67E-11 1.24E-17 3.48E-11 4.69E-35 9.15E-05 4.31E-39 4.71E-32 5.59E-18 4.25E-19 1.91E-19 2.62E-28 3.42E-04
  8.35E+06 7.18E-11 2.82E-18 2.91E-11 2.02E-36 6.39E-05 4.15E-40 2.19E-32 5.79E-18 1.56E-19 1.53E-19 1.24E-28 3.27E-04
  8.75E+06 7.55E-11 6.06E-19 2.42E-11 8.20E-38 4.38E-05 4.46E-41 1.15E-32 5.73E-18 5.26E-20 1.20E-19 5.90E-29 3.09E-04
  9.15E+06 7.74E-11 1.25E-19 2.03E-11 3.13E-39 2.98E-05 5.16E-42 6.58E-33 5.49E-18 1.70E-20 8.89E-20 2.74E-29 2.87E-04
  9.55E+06 7.72E-11 2.49E-20 1.74E-11 1.12E-40 2.02E-05 6.11E-43 3.93E-33 5.04E-18 5.43E-21 6.07E-20 1.22E-29 2.60E-04
  9.95E+06 7.42E-11 4.64E-21 1.55E-11 4.04E-42 1.31E-05 8.38E-44 2.28E-33 4.38E-18 1.95E-21 3.65E-20 4.98E-30 2.26E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 1.05E-10
  1.50E+05 1.27E-10
  2.50E+05 1.75E-10
  3.50E+05 2.34E-10
  7.50E+05 4.79E-10
  1.15E+06 5.68E-10
  1.55E+06 4.88E-10
  1.95E+06 3.15E-10
  2.35E+06 2.06E-10
  2.75E+06 1.41E-10
  3.15E+06 8.89E-11
  3.55E+06 4.91E-11
  3.95E+06 2.36E-11
  4.35E+06 9.58E-12
  4.75E+06 3.17E-12
  5.15E+06 7.72E-13
  5.55E+06 1.34E-13
  5.95E+06 1.56E-14
  6.35E+06 1.13E-15
  6.75E+06 4.16E-17
  7.15E+06 6.05E-19
  7.55E+06 6.51E-22
  7.95E+06 2.05E-27
  8.35E+06 1.33E-37
  8.75E+06 1.88E-56
  9.15E+06 2.62E-91
  9.55E+06 1.00-100
  9.95E+06 1.00-100


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.00E+04 8.43E-12 0.00E+00 1.29E-15 0.00E+00 1.20E-12 2.15E-04 1.39E-04 5.26E-06 1.68E-05 1.80E-05 6.32E-06
   3.50E+05 2.73E-11 0.00E+00 6.78E-14 0.00E+00 8.86E-12 2.37E-04 1.82E-04 7.27E-06 2.12E-05 2.20E-05 1.69E-05
   6.50E+05 5.91E-11 0.00E+00 1.10E-12 0.00E+00 6.12E-11 2.55E-04 2.14E-04 9.15E-06 2.45E-05 2.50E-05 2.89E-05
   9.50E+05 1.16E-10 1.27-153 7.23E-12 6.10-153 4.97E-10 2.75E-04 2.58E-04 1.14E-05 2.75E-05 2.76E-05 4.57E-05
   1.25E+06 2.16E-10 8.29E-91 2.06E-11 3.98E-90 1.83E-09 3.09E-04 4.26E-04 1.56E-05 3.12E-05 3.04E-05 7.89E-05
   1.55E+06 3.80E-10 3.47E-61 4.20E-11 1.67E-60 4.56E-09 3.97E-04 1.13E-03 2.50E-05 3.59E-05 3.35E-05 1.46E-04
   1.85E+06 5.62E-10 2.78E-42 6.98E-11 1.33E-41 9.30E-09 5.06E-04 2.06E-03 3.50E-05 3.96E-05 3.61E-05 2.11E-04
   2.15E+06 7.59E-10 3.33E-30 1.05E-10 1.60E-29 1.76E-08 5.89E-04 2.76E-03 4.25E-05 4.23E-05 3.80E-05 2.58E-04
   2.45E+06 9.97E-10 1.54E-22 1.52E-10 7.37E-22 3.28E-08 6.45E-04 3.24E-03 4.78E-05 4.42E-05 3.94E-05 2.94E-04
   2.75E+06 1.30E-09 1.06E-17 2.15E-10 5.10E-17 5.90E-08 6.82E-04 3.55E-03 5.16E-05 4.55E-05 4.03E-05 3.21E-04
   3.05E+06 1.72E-09 1.20E-14 2.96E-10 5.77E-14 9.92E-08 7.04E-04 3.73E-03 5.42E-05 4.63E-05 4.08E-05 3.41E-04
   3.35E+06 2.32E-09 1.02E-12 3.94E-10 4.91E-12 1.55E-07 7.17E-04 3.85E-03 5.60E-05 4.68E-05 4.12E-05 3.56E-04
   3.65E+06 3.23E-09 1.72E-11 5.05E-10 8.21E-11 2.47E-07 7.26E-04 3.92E-03 5.72E-05 4.72E-05 4.14E-05 3.66E-04
   3.95E+06 4.59E-09 1.13E-10 6.23E-10 4.93E-10 4.64E-07 7.31E-04 3.96E-03 5.80E-05 4.74E-05 4.16E-05 3.73E-04
   4.25E+06 6.47E-09 5.48E-10 7.43E-10 1.55E-09 9.12E-07 7.34E-04 3.99E-03 5.85E-05 4.75E-05 4.17E-05 3.77E-04
