 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  1.16E+14 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
 
  INITIAL MIXING RATIO OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
  49.5   1.96E-12 3.05E-12 3.05E-12 3.41E-09 1.26E-08 5.47E-10 8.65E-12 4.32E-11 5.73E-14 1.15E-13
  51.5   1.82E-12 3.02E-12 3.02E-12 2.53E-09 1.16E-08 3.19E-10 5.21E-12 1.61E-11 2.29E-14 4.58E-14
  53.5   1.65E-12 2.78E-12 2.78E-12 1.93E-09 1.05E-08 1.93E-10 3.39E-12 6.79E-12 1.03E-14 2.06E-14
  55.5   1.48E-12 2.50E-12 2.50E-12 1.49E-09 9.53E-09 1.22E-10 2.26E-12 3.15E-12 4.98E-15 9.95E-15
  57.5   1.34E-12 2.23E-12 2.23E-12 1.17E-09 8.62E-09 8.25E-11 1.53E-12 1.60E-12 2.61E-15 5.21E-15
  59.5   1.21E-12 1.96E-12 1.96E-12 9.23E-10 7.79E-09 6.13E-11 1.06E-12 9.03E-13 1.52E-15 3.04E-15
  61.5   1.07E-12 1.68E-12 1.68E-12 7.35E-10 7.05E-09 5.00E-11 7.50E-13 5.77E-13 9.91E-16 1.98E-15
  63.5   8.83E-13 1.17E-12 1.17E-12 5.87E-10 6.41E-09 4.56E-11 6.16E-13 4.55E-13 8.10E-16 1.62E-15
  65.5   7.63E-13 1.04E-12 1.04E-12 4.70E-10 5.89E-09 4.14E-11 4.10E-13 3.26E-13 5.59E-16 1.12E-15
  67.5   6.42E-13 8.12E-13 8.12E-13 3.71E-10 5.47E-09 4.15E-11 3.11E-13 2.63E-13 4.55E-16 9.10E-16
  69.5   5.26E-13 6.06E-13 6.06E-13 2.89E-10 5.14E-09 4.47E-11 2.51E-13 2.39E-13 4.11E-16 8.23E-16
  71.5   4.20E-13 4.41E-13 4.41E-13 2.21E-10 4.88E-09 4.75E-11 2.08E-13 2.16E-13 3.64E-16 7.29E-16
  73.5   3.18E-13 3.19E-13 3.19E-13 1.62E-10 4.66E-09 4.43E-11 1.63E-13 1.70E-13 2.68E-16 5.36E-16
  75.5   2.17E-13 2.15E-13 2.15E-13 1.09E-10 4.43E-09 3.44E-11 1.18E-13 1.09E-13 1.54E-16 3.09E-16
  77.5   1.31E-13 1.31E-13 1.31E-13 6.46E-11 4.19E-09 2.19E-11 7.71E-14 5.65E-14 6.87E-17 1.37E-16
