TTAB
 1.5E+03 1.4E+03 1.3E+03 1.2E+03 1.0E+03 8.7E+02 7.2E+02 5.6E+02 4.3E+02 3.2E+02 2.4E+02 1.8E+02 1.3E+02 1.0E+02 7.6E+01 5.9E+01 4.6E+01
 3.6E+01 2.8E+01 2.3E+01 1.9E+01 1.5E+01 1.3E+01 1.1E+01 9.1E+00 7.8E+00 6.8E+00 6.0E+00 5.3E+00 4.7E+00 4.2E+00 3.7E+00 3.3E+00 3.0E+00
 1.8E+03 1.7E+03 1.5E+03 1.4E+03 1.2E+03 1.0E+03 8.5E+02 6.7E+02 5.1E+02 3.8E+02 2.9E+02 2.1E+02 1.6E+02 1.2E+02 9.3E+01 7.2E+01 5.6E+01
 4.4E+01 3.5E+01 2.9E+01 2.4E+01 1.9E+01 1.6E+01 1.4E+01 1.2E+01 1.0E+01 8.7E+00 7.6E+00 6.8E+00 6.1E+00 5.4E+00 4.8E+00 4.3E+00 3.9E+00

PH2SO4
 1.5E-42 1.0E-41 1.7E-39 2.1E-37 1.7E-35 6.6E-34 1.5E-32 2.1E-31 2.9E-30 2.6E-29 1.7E-28 8.8E-28 4.1E-27 1.6E-26 6.3E-26 2.0E-25 6.8E-25
 2.5E-24 1.0E-23 3.7E-23 1.2E-22 3.9E-22 1.2E-21 2.5E-21 4.2E-21 6.8E-21 1.1E-20 1.6E-20 2.3E-20 3.3E-20 3.7E-20 4.1E-20 4.4E-20 4.8E-20
 6.7E-41 4.3E-40 5.7E-38 5.9E-36 3.9E-34 1.4E-32 3.0E-31 4.1E-30 5.3E-29 4.6E-28 3.0E-27 1.5E-26 7.0E-26 2.8E-25 1.0E-24 3.3E-24 1.1E-23
 3.7E-23 1.4E-22 4.7E-22 1.4E-21 4.4E-21 1.2E-20 2.5E-20 4.0E-20 6.3E-20 9.6E-20 1.4E-19 2.0E-19 2.8E-19 3.2E-19 3.5E-19 3.8E-19 4.1E-19
 2.4E-39 1.5E-38 1.6E-36 1.4E-34 7.6E-33 2.5E-31 5.1E-30 6.7E-29 8.2E-28 6.9E-27 4.4E-26 2.2E-25 9.9E-25 3.9E-24 1.4E-23 4.4E-23 1.4E-22
