 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-003  CO2 =   4.000000000000000E-004
 
    CH4 =   1.053742436698481E-006
 Standard CH3CL flux =  2.800E+08

 PO2= 1.273E-03  PNO= 3.670E-03  ZAPNO= 3.777E+03
 N= 4     X= 1.56518E-01  ERR= 4.16788E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


  5.55E+06 1.48E-14 6.60E-15 6.91E-12 1.04E-13 1.40E-15 2.58E-15 1.22E-17 1.83E-18 4.18E-25 3.13E-23 4.27E-15 6.97E-14
  5.95E+06 3.33E-15 1.33E-15 6.60E-12 2.77E-14 4.20E-16 2.52E-16 1.06E-18 2.84E-19 5.88E-27 1.15E-24 3.62E-15 1.18E-14
  6.35E+06 1.93E-16 1.17E-16 6.16E-12 2.99E-16 1.87E-17 4.54E-18 5.76E-21 1.14E-20 8.44E-30 5.92E-27 3.31E-15 4.18E-17
  6.75E+06 6.79E-17 6.05E-17 5.64E-12 7.18E-17 7.12E-19 4.73E-20 8.10E-24 1.86E-21 1.15E-32 7.54E-28 3.11E-15 5.95E-20
  7.15E+06 5.59E-17 8.21E-17 5.16E-12 3.66E-17 6.93E-20 1.08E-21 1.15E-25 5.18E-22 4.13E-34 6.67E-29 2.98E-15 1.68E-21
  7.55E+06 5.38E-17 1.15E-16 4.69E-12 1.82E-17 6.66E-21 3.86E-23 3.89E-27 1.39E-22 1.70E-35 3.98E-30 2.87E-15 8.39E-23
  7.95E+06 5.30E-17 1.66E-16 4.19E-12 8.80E-18 5.60E-22 1.44E-24 1.44E-28 3.64E-23 6.44E-37 1.64E-31 2.75E-15 4.53E-24
  8.35E+06 5.21E-17 2.14E-16 3.69E-12 4.19E-18 4.07E-23 5.53E-26 5.61E-30 9.36E-24 2.34E-38 4.68E-33 2.63E-15 2.51E-25
  8.75E+06 5.06E-17 2.32E-16 3.21E-12 1.97E-18 2.67E-24 2.15E-27 2.29E-31 2.37E-24 8.29E-40 9.63E-35 2.47E-15 1.41E-26
  9.15E+06 4.81E-17 2.21E-16 2.78E-12 9.24E-19 1.75E-25 8.68E-29 9.70E-33 5.98E-25 2.90E-41 1.55E-36 2.28E-15 8.00E-28
  9.55E+06 4.42E-17 1.97E-16 2.44E-12 4.39E-19 1.50E-26 3.83E-30 4.27E-34 1.52E-25 1.04E-42 2.08E-38 2.04E-15 4.36E-29
  9.95E+06 3.86E-17 1.70E-16 2.26E-12 2.20E-19 2.30E-27 2.73E-31 2.28E-35 4.04E-26 4.54E-44 2.36E-40 1.73E-15 2.12E-30
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 9.32E-18 1.66E-14 6.25E-12 2.73E-14 2.10E-03 1.99E-12 2.88E-17 5.27E-18 2.63E-11 2.06E-12 1.49E-13 4.00E-04
  1.50E+05 1.44E-17 2.40E-14 9.39E-12 4.09E-14 2.10E-03 1.95E-12 2.65E-17 1.08E-17 4.45E-11 4.22E-12 1.64E-13 4.05E-04
  2.50E+05 2.25E-17 4.13E-14 1.34E-11 6.95E-14 2.11E-03 1.91E-12 2.22E-17 2.09E-17 5.93E-11 6.77E-12 1.63E-13 4.09E-04
  3.50E+05 3.29E-17 7.53E-14 1.75E-11 1.26E-13 2.11E-03 1.92E-12 1.78E-17 3.96E-17 7.22E-11 9.27E-12 1.62E-13 4.13E-04
  7.50E+05 9.07E-17 5.90E-13 2.98E-11 6.34E-13 2.13E-03 2.80E-12 1.15E-17 5.22E-16 1.25E-10 1.50E-11 1.88E-13 4.27E-04
  1.15E+06 1.70E-16 1.76E-12 3.62E-11 2.44E-12 2.13E-03 3.17E-13 7.62E-19 2.94E-15 6.38E-11 5.52E-12 1.20E-14 4.30E-04
  1.55E+06 1.31E-15 2.13E-11 7.70E-11 1.38E-11 2.13E-03 2.60E-18 6.95E-24 5.56E-17 4.76E-13 6.71E-14 3.13E-20 4.31E-04
  1.95E+06 1.45E-14 5.71E-11 1.20E-10 8.54E-12 2.13E-03 2.56E-26 5.24E-30 3.16E-20 5.10E-17 2.66E-17 4.26E-27 4.31E-04
  2.35E+06 1.46E-13 7.60E-11 1.69E-10 1.09E-12 2.13E-03 1.08E-30 2.23E-31 6.64E-22 2.34E-19 1.37E-17 2.30E-29 4.31E-04
  2.75E+06 7.70E-13 6.14E-11 2.29E-10 7.03E-14 2.13E-03 4.89E-30 1.96E-30 2.22E-21 3.06E-19 1.36E-17 4.91E-29 4.31E-04
  3.15E+06 2.26E-12 3.82E-11 2.70E-10 3.55E-15 2.13E-03 3.21E-29 1.62E-29 6.26E-21 4.90E-19 1.34E-17 1.80E-28 4.31E-04
  3.55E+06 4.51E-12 1.92E-11 2.99E-10 2.14E-16 2.13E-03 1.94E-28 1.06E-28 1.53E-20 8.46E-19 1.30E-17 7.11E-28 4.31E-04
  3.95E+06 6.54E-12 7.59E-12 3.15E-10 1.68E-17 2.13E-03 9.68E-28 5.54E-28 3.41E-20 1.52E-18 1.23E-17 2.76E-27 4.31E-04
  4.35E+06 7.51E-12 2.43E-12 3.22E-10 1.64E-18 2.13E-03 5.30E-27 2.88E-27 5.77E-20 2.47E-18 1.13E-17 9.56E-27 4.30E-04
  4.75E+06 7.91E-12 7.79E-13 3.24E-10 1.71E-19 2.13E-03 2.60E-26 1.32E-26 8.65E-20 3.82E-18 9.85E-18 3.04E-26 4.30E-04
  5.15E+06 8.60E-12 3.17E-13 3.24E-10 1.61E-20 2.13E-03 6.91E-26 3.84E-26 1.47E-19 5.78E-18 7.79E-18 8.66E-26 4.29E-04
  5.55E+06 9.89E-12 1.47E-13 3.23E-10 1.11E-21 2.13E-03 9.33E-26 6.89E-26 2.74E-19 7.79E-18 5.61E-18 2.03E-25 4.28E-04
