 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.013654577153145E-008
 Low CH3CL flux      =  9.733E+06

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35642E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   1.85E+06 7.51E-10 2.02E-37 1.77E-10 9.71E-37 5.76E-08 4.83E-04 1.86E-03 3.44E-05 3.86E-05 3.57E-05 2.19E-04
   2.15E+06 9.96E-10 4.37E-27 2.42E-10 2.10E-26 8.97E-08 5.82E-04 2.70E-03 4.25E-05 4.16E-05 3.77E-05 2.66E-04
   2.45E+06 1.27E-09 1.34E-20 3.12E-10 6.43E-20 1.27E-07 6.42E-04 3.21E-03 4.70E-05 4.36E-05 3.91E-05 2.86E-04
   2.75E+06 1.60E-09 1.62E-16 3.86E-10 7.76E-16 1.68E-07 6.76E-04 3.50E-03 4.93E-05 4.49E-05 4.00E-05 2.94E-04
   3.05E+06 2.03E-09 6.13E-14 4.63E-10 2.94E-13 2.14E-07 6.95E-04 3.66E-03 5.06E-05 4.57E-05 4.06E-05 2.97E-04
   3.35E+06 2.64E-09 2.66E-12 5.41E-10 1.28E-11 2.66E-07 7.06E-04 3.75E-03 5.13E-05 4.62E-05 4.10E-05 2.98E-04
   3.65E+06 3.54E-09 2.96E-11 6.20E-10 1.42E-10 3.60E-07 7.13E-04 3.81E-03 5.18E-05 4.65E-05 4.12E-05 2.99E-04
   3.95E+06 4.85E-09 1.49E-10 7.01E-10 6.64E-10 5.95E-07 7.17E-04 3.84E-03 5.21E-05 4.68E-05 4.13E-05 2.99E-04
   4.25E+06 6.67E-09 6.04E-10 7.83E-10 1.81E-09 1.05E-06 7.19E-04 3.86E-03 5.22E-05 4.69E-05 4.14E-05 3.00E-04
   4.55E+06 9.09E-09 2.45E-09 8.65E-10 3.47E-09 1.69E-06 7.21E-04 3.87E-03 5.24E-05 4.70E-05 4.15E-05 3.00E-04
