 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000082E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98377E-01  ERR= 1.04174E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


  1.95E+06 7.70E-14 2.52E-07 2.81E-10 7.20E-10 1.44E-13 4.83E-09 1.83E-10 1.59E-13 1.31E-11 2.00E-16 2.98E-10 1.79E-13
  2.35E+06 1.77E-13 2.05E-07 4.96E-10 1.50E-09 2.89E-13 8.67E-09 3.43E-10 4.86E-13 3.55E-11 1.89E-15 2.03E-10 2.14E-12
  2.75E+06 4.20E-13 1.54E-07 9.87E-10 2.88E-09 7.97E-13 1.13E-08 4.41E-10 1.06E-12 4.86E-11 6.85E-15 1.26E-10 1.68E-11
  3.15E+06 7.57E-13 1.04E-07 2.45E-09 5.37E-09 2.87E-12 1.13E-08 3.22E-10 1.65E-12 3.43E-11 1.14E-14 6.62E-11 6.32E-11
  3.55E+06 1.18E-12 6.11E-08 6.26E-09 7.53E-09 8.55E-12 7.64E-09 1.06E-10 1.65E-12 9.96E-12 7.99E-15 2.74E-11 1.02E-10
  3.95E+06 1.78E-12 3.32E-08 1.24E-08 6.01E-09 1.52E-11 2.95E-09 1.75E-11 1.01E-12 1.11E-12 2.51E-15 9.20E-12 8.19E-11
  4.35E+06 2.66E-12 1.79E-08 1.67E-08 2.53E-09 1.32E-11 5.42E-10 2.06E-12 4.08E-13 4.79E-14 3.57E-16 2.95E-12 4.02E-11
  4.75E+06 3.71E-12 1.00E-08 1.70E-08 7.68E-10 5.99E-12 5.84E-11 2.18E-13 1.12E-13 1.13E-15 1.92E-17 1.14E-12 1.14E-11
  5.15E+06 4.07E-12 5.84E-09 1.54E-08 2.33E-10 2.45E-12 6.86E-12 2.86E-14 2.62E-14 2.97E-17 1.75E-18 6.04E-13 3.05E-12
  5.55E+06 3.65E-12 3.61E-09 1.33E-08 7.66E-11 1.08E-12 1.08E-12 4.92E-15 6.35E-15 1.10E-18 3.15E-19 4.27E-13 1.04E-12
  5.95E+06 3.13E-12 2.33E-09 1.13E-08 2.93E-11 4.72E-13 2.08E-13 9.97E-16 1.66E-15 5.13E-20 3.46E-20 3.58E-13 3.73E-13
